iter	MultiClass
0	1.751225825
1	1.715808739
2	1.68112896
3	1.649522577
4	1.613738373
5	1.583863766
6	1.556455888
7	1.533085515
8	1.51045871
9	1.486790597
10	1.466972091
11	1.448621521
12	1.426626292
13	1.407900296
14	1.390400659
15	1.375975534
16	1.362314784
17	1.346676713
18	1.333244717
19	1.32133884
20	1.306423743
21	1.296124343
22	1.285843399
23	1.275353492
24	1.26672349
25	1.255372694
26	1.245817623
27	1.237059976
28	1.228716823
29	1.218002659
30	1.211135889
31	1.204178841
32	1.196576143
33	1.189446168
34	1.184292261
35	1.17727513
36	1.171528734
37	1.16480505
38	1.160377477
39	1.153760932
40	1.150400714
41	1.147457222
42	1.14214398
43	1.137924895
44	1.133996871
45	1.130892226
46	1.125443298
47	1.122540263
48	1.118250477
49	1.114184213
50	1.111352268
51	1.106561048
52	1.104346737
53	1.102502398
54	1.099329177
55	1.096542806
56	1.093712179
57	1.091468099
58	1.086812077
59	1.083958758
60	1.082494475
61	1.080638546
62	1.078839909
63	1.077384087
64	1.074389035
65	1.072659485
66	1.069689457
67	1.065948817
68	1.06415813
69	1.062470371
70	1.058628141
71	1.055056047
72	1.053354808
73	1.051751959
74	1.050788251
75	1.049848239
76	1.047899936
77	1.045557274
78	1.043487871
79	1.041817466
80	1.040868388
81	1.039457761
82	1.038292459
83	1.036774138
84	1.035979427
85	1.035128403
86	1.03414953
87	1.033200467
88	1.031732245
89	1.030771142
90	1.029813539
91	1.028950914
92	1.027914659
93	1.026634314
94	1.026083243
95	1.025273663
96	1.024304614
97	1.023312478
98	1.022480652
99	1.020595709
100	1.019573137
101	1.018695659
102	1.017950972
103	1.017284965
104	1.015961452
105	1.015381356
106	1.014731488
107	1.014097832
108	1.013214207
109	1.012531791
110	1.011401166
111	1.010806999
112	1.010226712
113	1.009756485
114	1.009347765
115	1.008379254
116	1.007616667
117	1.006858255
118	1.006038346
119	1.005414236
120	1.004693569
121	1.00380227
122	1.00336793
123	1.002836921
124	1.00192708
125	1.000566159
126	0.9998727402
127	0.9994854016
128	0.9987006865
129	0.9982941406
130	0.9979601769
131	0.9974361127
132	0.9968603183
133	0.9966094558
134	0.9960050235
135	0.9955262836
136	0.9950938934
137	0.9946767104
138	0.9940612599
139	0.9934713127
140	0.9928563535
141	0.992512031
142	0.9918270086
143	0.9913339237
144	0.9908559185
145	0.9900063086
146	0.9894515442
147	0.988936304
148	0.9884237272
149	0.9880444317
150	0.9877111202
151	0.9875069437
152	0.9872505214
153	0.986773038
154	0.9864303196
155	0.9859140133
156	0.9853869334
157	0.9847006399
158	0.9836196971
159	0.9834243415
160	0.9827822584
161	0.9821679766
162	0.981672445
163	0.9809154076
164	0.9804032157
165	0.9800518979
166	0.9795322265
167	0.9789009611
168	0.9785609239
169	0.9775563744
170	0.9767701894
171	0.9757437178
172	0.9752708422
173	0.9749743735
174	0.9746288154
175	0.9742908816
176	0.9738472681
177	0.9734621235
178	0.9730766425
179	0.9728087668
180	0.9724009238
181	0.972098443
182	0.9710891528
183	0.970207408
184	0.9691131369
185	0.9687403383
186	0.9682801572
187	0.9675033324
188	0.9670403419
189	0.9666390314
190	0.9663161451
191	0.9656967068
192	0.9653328855
193	0.9647029349
194	0.9643241924
195	0.964056362
196	0.9631874504
197	0.9627563866
198	0.9618634864
199	0.9611106211
200	0.9604731371
201	0.9602008279
202	0.9598130864
203	0.9594019712
204	0.9590476577
205	0.9586915211
206	0.9584171397
207	0.9580888737
208	0.9573674933
209	0.9569452217
210	0.9564003824
211	0.955839396
212	0.9555359606
213	0.954902523
214	0.954671484
215	0.9543499586
216	0.9539630655
217	0.953496223
218	0.953008978
219	0.9522474539
220	0.9516782546
221	0.9510999924
222	0.9504562408
223	0.9500540119
224	0.9492391074
225	0.9483083215
226	0.947294622
227	0.9469602914
228	0.9465562373
229	0.9461000169
230	0.9457995592
231	0.9455167258
232	0.9451706536
233	0.9447540748
234	0.9438335092
235	0.9434577895
236	0.9429315326
237	0.9426998133
238	0.9423662615
239	0.9420438733
240	0.9418771131
241	0.9414832027
242	0.9406270236
243	0.9403100781
244	0.9400556687
245	0.9395214686
246	0.9389547327
247	0.9385120365
248	0.9383540251
249	0.9382211566
250	0.9376125905
251	0.9368609778
252	0.9363770947
253	0.936049962
254	0.9354768409
255	0.9348379043
256	0.9346610006
257	0.9340394148
258	0.9333345931
259	0.9324493476
260	0.932212571
