iter	Passed	Remaining
0	5	3662
1	10	3604
2	15	3700
3	21	3714
4	27	3797
5	32	3798
6	38	3816
7	44	3879
8	50	3875
9	56	3920
10	63	3981
11	69	3982
12	74	3946
13	80	3934
14	85	3891
15	89	3824
16	94	3798
17	98	3741
18	103	3715
19	109	3711
20	114	3693
21	118	3656
22	122	3618
23	127	3600
24	132	3576
25	137	3558
26	142	3551
27	147	3536
28	152	3524
29	157	3506
30	162	3507
31	167	3500
32	172	3487
33	178	3492
34	183	3482
35	189	3489
36	194	3492
37	200	3493
38	205	3487
39	211	3482
40	216	3486
41	222	3493
42	228	3488
43	233	3485
44	239	3480
45	244	3479
46	249	3473
47	254	3456
48	260	3454
49	264	3438
50	269	3426
51	274	3415
52	278	3405
53	283	3394
54	290	3408
55	296	3414
56	302	3408
57	307	3408
58	313	3404
59	318	3395
60	323	3385
61	328	3379
62	333	3370
63	338	3365
64	344	3364
65	349	3357
66	355	3355
67	361	3355
68	365	3342
69	370	3337
70	375	3330
71	380	3319
72	384	3306
73	391	3309
74	396	3308
75	401	3294
76	406	3287
77	410	3275
78	415	3263
79	420	3257
80	424	3245
81	429	3235
82	433	3221
83	438	3218
84	442	3205
85	447	3191
86	451	3181
87	457	3180
88	462	3173
89	466	3161
90	471	3156
91	476	3147
92	480	3138
93	485	3129
94	489	3119
95	494	3108
96	498	3101
97	504	3100
98	509	3093
99	515	3093
100	522	3100
101	528	3097
102	534	3099
103	540	3098
104	547	3103
105	554	3106
106	559	3098
107	563	3089
108	570	3091
109	575	3089
110	581	3083
111	586	3079
112	591	3070
113	595	3061
114	601	3057
115	605	3050
116	610	3041
117	615	3033
118	620	3030
119	625	3021
120	630	3019
121	636	3016
122	641	3010
123	647	3008
124	654	3009
125	660	3008
126	667	3013
127	672	3006
128	677	3000
129	682	2994
130	688	2989
131	693	2983
132	698	2978
133	703	2971
134	708	2966
135	713	2958
136	718	2951
137	722	2943
138	726	2933
139	732	2929
140	736	2921
141	740	2910
142	745	2902
143	749	2894
144	754	2886
145	758	2878
146	763	2873
147	768	2866
148	772	2858
149	778	2854
150	783	2847
151	787	2838
152	791	2828
153	795	2819
154	799	2811
155	804	2804
156	808	2796
157	813	2791
158	818	2783
159	822	2774
160	826	2765
161	831	2760
162	835	2751
163	838	2742
164	842	2732
165	847	2725
166	851	2717
167	855	2709
168	860	2702
169	864	2696
170	869	2690
171	875	2687
172	881	2683
173	885	2677
174	890	2671
175	895	2667
176	900	2660
177	904	2653
178	909	2647
179	915	2645
180	920	2638
181	925	2633
182	930	2628
183	935	2623
184	940	2618
185	945	2613
186	951	2609
187	956	2605
188	962	2602
189	967	2596
190	972	2590
191	978	2589
192	983	2583
193	989	2579
194	994	2575
195	999	2569
196	1004	2565
197	1010	2561
198	1016	2558
199	1021	2553
200	1027	2551
201	1032	2544
202	1036	2537
203	1041	2532
204	1045	2524
205	1049	2517
206	1053	2509
207	1058	2504
208	1062	2497
209	1066	2489
210	1070	2481
211	1075	2475
212	1079	2468
213	1084	2461
214	1088	2455
215	1093	2450
216	1098	2444
217	1101	2435
218	1106	2431
219	1111	2425
220	1115	2417
221	1119	2411
222	1125	2406
223	1129	2400
224	1133	2393
225	1138	2387
226	1142	2381
227	1146	2374
228	1150	2367
229	1156	2362
230	1160	2355
231	1164	2349
232	1170	2345
233	1175	2340
234	1180	2335
235	1184	2328
236	1189	2323
237	1193	2316
238	1197	2309
239	1201	2302
240	1206	2297
241	1210	2290
242	1214	2283
243	1218	2276
244	1222	2270
245	1226	2264
246	1230	2257
247	1234	2250
248	1238	2243
249	1244	2240
250	1248	2234
251	1252	2227
252	1256	2220
253	1260	2214
254	1265	2207
255	1269	2201
256	1272	2194
257	1277	2189
258	1283	2185
259	1288	2180
260	1292	2173
261	1295	2166
262	1299	2159
263	1304	2153
264	1308	2148
265	1312	2141
266	1316	2134
267	1321	2129
268	1325	2123
269	1329	2116
270	1332	2110
271	1337	2104
272	1341	2098
273	1345	2091
274	1349	2086
275	1354	2080
276	1359	2075
277	1363	2069
278	1367	2064
279	1372	2058
280	1376	2052
281	1379	2045
282	1384	2040
283	1388	2034
284	1393	2028
285	1397	2022
286	1401	2016
287	1405	2010
288	1409	2004
289	1413	1998
290	1418	1993
291	1422	1987
292	1427	1982
293	1431	1977
294	1436	1971
295	1441	1967
296	1446	1962
297	1451	1957
298	1456	1953
299	1461	1948
300	1465	1942
301	1470	1938
302	1475	1933
303	1480	1928
304	1485	1924
305	1490	1918
306	1495	1914
307	1501	1910
308	1505	1905
309	1510	1900
310	1516	1896
311	1521	1892
312	1527	1888
313	1532	1884
314	1538	1879
315	1542	1874
316	1546	1868
317	1552	1864
318	1557	1859
319	1562	1855
320	1567	1850
321	1572	1845
322	1577	1840
323	1582	1837
324	1588	1832
325	1592	1827
326	1598	1822
327	1602	1817
328	1607	1812
329	1612	1807
330	1616	1801
331	1620	1795
332	1624	1790
333	1628	1784
334	1632	1778
335	1636	1772
336	1640	1767
337	1645	1761
338	1649	1756
339	1652	1749
340	1656	1744
341	1660	1738
342	1664	1732
343	1668	1726
344	1672	1721
345	1677	1716
346	1681	1710
347	1685	1704
348	1689	1699
349	1694	1694
350	1699	1689
351	1703	1683
352	1706	1677
353	1711	1672
354	1715	1667
355	1719	1661
356	1723	1656
357	1728	1650
358	1732	1645
359	1735	1639
360	1739	1633
361	1744	1628
362	1747	1622
363	1751	1616
364	1756	1611
365	1760	1606
366	1764	1600
367	1768	1595
368	1773	1590
369	1778	1586
370	1782	1580
371	1786	1575
372	1790	1569
373	1795	1565
374	1799	1559
375	1803	1554
376	1807	1549
377	1811	1543
378	1815	1537
379	1819	1532
380	1823	1526
381	1827	1521
382	1832	1516
383	1836	1511
384	1840	1505
385	1844	1500
386	1849	1495
387	1853	1490
388	1858	1485
389	1862	1480
390	1867	1475
391	1871	1470
392	1876	1465
393	1880	1460
394	1884	1455
395	1888	1449
396	1892	1444
397	1896	1439
398	1901	1434
399	1904	1428
400	1909	1424
401	1914	1418
402	1918	1413
403	1922	1408
404	1926	1403
405	1930	1397
406	1934	1392
407	1938	1387
408	1943	1382
409	1947	1377
410	1951	1372
411	1955	1367
412	1960	1362
413	1963	1356
414	1967	1350
415	1971	1345
416	1975	1340
417	1979	1335
418	1983	1330
419	1987	1325
420	1992	1320
421	1996	1315
422	2000	1309
423	2004	1305
424	2009	1300
425	2014	1295
426	2017	1290
427	2022	1285
428	2026	1280
429	2030	1274
430	2033	1269
431	2038	1264
432	2042	1259
433	2046	1254
434	2050	1249
435	2054	1244
436	2058	1238
437	2062	1233
438	2067	1229
439	2072	1224
440	2076	1219
441	2079	1214
442	2084	1209
443	2088	1204
444	2092	1198
445	2095	1193
446	2099	1188
447	2103	1183
448	2107	1178
449	2111	1173
450	2115	1167
451	2120	1163
452	2125	1158
453	2129	1154
454	2134	1149
455	2139	1144
456	2142	1139
457	2146	1134
458	2150	1129
459	2155	1124
460	2159	1119
461	2163	1114
462	2167	1109
463	2171	1104
464	2175	1099
465	2179	1094
466	2183	1089
467	2187	1084
468	2191	1079
469	2195	1074
470	2199	1069
471	2204	1064
472	2208	1059
473	2212	1054
474	2217	1050
475	2222	1045
476	2226	1040
477	2231	1036
478	2236	1031
479	2240	1026
480	2244	1021
481	2248	1016
482	2252	1011
483	2256	1006
484	2260	1001
485	2264	997
486	2269	992
487	2273	987
488	2277	982
489	2282	978
490	2286	973
491	2291	968
492	2295	963
493	2299	958
494	2302	953
495	2306	948
496	2310	943
497	2315	939
498	2319	934
499	2323	929
500	2327	924
501	2331	919
502	2335	914
503	2340	910
504	2345	905
505	2349	900
506	2354	896
507	2359	891
508	2364	887
509	2369	882
510	2373	878
511	2378	873
512	2384	869
513	2388	864
514	2392	859
515	2397	854
516	2401	850
517	2406	845
518	2410	840
519	2416	836
520	2420	831
521	2425	826
522	2429	822
523	2435	817
524	2439	813
525	2443	808
526	2449	803
527	2454	799
528	2458	794
529	2463	790
530	2468	785
531	2473	781
532	2478	776
533	2483	772
534	2488	767
535	2493	762
536	2498	758
537	2503	753
538	2507	749
539	2512	744
540	2516	739
541	2520	734
542	2524	730
543	2530	725
544	2534	720
545	2539	716
546	2543	711
547	2547	706
548	2551	701
549	2555	696
550	2559	692
551	2564	687
552	2569	682
553	2573	678
554	2578	673
